Item Name,Rate
1 Hours After 100gm Glucose,200
1 Hours After 50gm Glucose,200
1 Hours After 75gm Glucose,200
2 Hours After 100gm Glucose,200
2 Hours After 50gm Glucose,200
2 Hours After 75gm Glucose,200
2 Hours After Breakfast,250
2 Hours After Dinner,200
2 Hours After Lunch,200
2 Hours After Meal,200
Acid Phosphatase Non-Prostatic Serum,800
Acid Phosphatase Prostatic Serum,1000
Acid Phosphatase Serum,950
Albumin Creatinine Ratio (ACR)-Urine,1000
Aldolase Serum,1100
Alkaline Phosphatese/ALP,400
Allergy Panel,8400
Amphetamines Urine,1200
B2 Microglobulin,2000
Benzodiazepines Urine,1200
Bicarbonate Serum,550
Blood Ammonia,1100
CK-MB Serum,1100
CPK Serum,1000
CUS 1 Hours After 75gm Glucose,100
CUS 1hours ABF,100
CUS 1hours After 100gm Glucose,100
CUS 1hours After 50gm Glucose,100
CUS 1hours After Lunch,100
CUS 2 Hours ABF,100
CUS 2 Hours After 75gm Glucose,100
CUS 2 Hours After Dinner,100
CUS 2 Hours After Lunch,100
CUS 2 hours After 100gm Glucose,100
CUS 2hours After Meal,100
CUS Before Dinner,100
CUS Before Lunch,100
CUS FBS,100
CUS PPBS,100
CUS RBS,100
Cannabinoid Urine,1200
Ceruloplasmin Serum,3500
Chloride Serum,300
Chloride Urine,300
Cholesterol Total,350
Cocaine Urine,1200
Copper Serum,2000
Creatinine Clearance Rate (CCR),700
Creatinine Urine,500
DHEA-SULPHATE (DHEA SO4),1200
Digoxin Level,1200
Dope Test,2800
Dope Test (BRAC Bank),2000
ETHYL ALCOHOL,1200
Electrolyte 24 hours Urine,950
Electrolytes Urine,1000
FBS (Fasting Blood Sugar),250
FDP (Fibrin Degradation Product),1250
Fibrinogen Level,900
Fluid for LDH,900
Folic Acid (Folate),1500
GFR,1000
GGT (Gamma Glutamyl Transferase),1100
Glucose-6 Phosphate Dehydrogenase (G6PD),1500
HDL Cholesterol,400
HOMA I/R Index,1500
HbA1c,1100
Insulin (Fasting),1200
Insulin (Random),1200
Iron Profile,3000
LDL Cholesterol,400
Lipid Profile (Fasting),1200
Lipid Profile (Random),1200
"Liver Function Test (LFT) (Bilirubin, SGOT, SGPT, ALP)",1000
Micro Albumin - Urine,1000
Micro Albumin Urine 24 hours,1000
Myoglobin,1100
OGTT (2 Sample),500
OGTT (3 Sample),600
Opiate Urine,1200
Osmolality Blood,1000
Osmolality Urine,1100
PCR for Urine (Protein Creatinine Ratio),800
Phosphate Urine 24 hours,600
Phosphate(PO4),550
Plasma Ammonia,1000
Plasma Lactate,1100
R B S (Glucometer),200
RBS,250
S. Adenosine Deaminase (ADA),1250
S. Albumin,500
S. Amylase,1200
S. Bilirubin (Direct),350
S. Bilirubin (Indirect),500
S. Bilirubin (Total),400
S. Calcium,500
S. Globulin,350
S. Inorganic Phosphate (PO4),600
S. Iron,1200
S. LDH,1100
S. Lipase,1200
S. Magnesium,1100
S. TIBC,1100
S.Erythropoietin,3200
S.Urea/BUN,400
SGOT/AST,400
SGPT/ALT,400
Serum Creatinine,400
Serum Electrolyte,1000
Serum Lithium,1200
Serum Potassium,300
Serum Protein Electrophoresis,1500
Serum Sodium (Na+),300
Serum Total Protein,500
Serum Uric Acid,450
Total Protein & Albumin Serum,900
Total Protein Urine 24 hours,500
Transferrin Saturation,2000
Triglycerides,350
Troponin-I (ICT),1100
Urinary Sodium (Na+),300
Urine Amylase,1000
Urine Potassium (K),300
Valproic Acid Blood,1200
eGFR,1000
Albumin (Urine),300
Ascitic Fluid for AFB,400
BAL for AFB,400
BAL for Gram Stain,400
Bence Jones Protein,600
Bile Pigment,250
Bile Salt,200
Dermatophytes,200
FLUID FOR ADA,1200
Fluid For Creatinine,350
Fluid for Biochemistry,800
Fluid for Glucose,180
Fluid for Potasium(K+),350
Fluid for Protein,450
Ketone Bodies-Urine,300
Pleural Fluid for ADA,1200
Pleural Fluid for Glucose,200
Pleural Fluid for Protein,400
STOOL R/M/E,300
Semen Analysis,1400
Specific Gravity - Urine,250
Sputum Eosinophil,400
Sputum for AFB (1st Sample),500
Sputum for AFB (2nd Sample),500
Sputum for AFB (3rd Sample),500
Sputum for R/M/E,800
Stool R/S (Reducing Substance),250
Stool for Occult Blood Test (OBT),300
Sugar (Urine),200
Synovial Fluid for AFB,400
Synovial Fluid for Gram Stain,400
Synovial Fluid for R/M/E,800
Urine R/M/E,300
Urine R/S (Reducing Substance),300
Urine for PH,250
Urobilinogen - Urine,250
Wet Film,550
Collection Charge for Fine needle aspiration cytology (FNAC),500
Activated Partial Thromboplastin Time (APTT),1000
BT & CT,300
Blood Film (PBF),450
Blood Film for Malarial Parasite,400
Bone Marrow Study,2500
CBC,400
CBC with PBF,800
Circulating Eosinophil Count-TCE,300
Coomb's Test (Indirect),700
D-Dimer,1500
DC,300
ESR,300
Factor IX,1000
Factor VIII,1000
HB%,400
HCT,250
Hb Electrophoresis,1800
MCH,300
MCHC,300
MCV,300
Malaria Parasite ( MP ),250
PC (Platelet Count),350
PCV,300
Protein C,6000
Prothrombin Time (INR),700
RBC,300
RC (Reticulocyte Count),500
TC (WBC)),200
TC/DC/ESR/Hb%,400
Fine needle aspiration cytology (FNAC Both),2400
Nipple Discharge for Cytology (Both),1100
Paps Smear(Cervical cytology),1200
Pleural Fluid for Cytology,800
USG Guided Fine needle aspiration cytology (FNAC),1500
Ascitic Fluid for Cytology,1000
Colposcopy,4000
Fine needle aspiration cytology (FNAC),1200
Histopathology - Intermediate,2000
Histopathology - Large,2500
Histopathology - Small,1500
Histopathology Per slide supply,500
Histopathology Review - 1 slide,800
Histopathology Review - 2 slide,1000
IHC Comprehensive Panel,16000
Lymphnod for Histopath,1600
Skin Biopsy,1200
H.pylori (ICT),600
25-OH Vitamin D (Total),3000
25-OH Vitamin D3/D2,6000
ACTH,1200
AFP (Alpha-Feto-Protein),1200
Aldosterone,3200
Aldosterone Renin ratio,3500
Anti HCV (ELISA),1500
Anti-CCP Ab,2000
Anti-Cardiolipin Ab,2000
Anti-Chlamydia IgM,1400
Anti-Chlamydia IgG,1400
Anti-HBc IgM,1500
Anti-HBc Total,1200
Anti-HBe,1200
Anti-HBs Ab,1200
Anti-HEV IgG,0
Anti-HEV IgM,1200
Anti-Mullerian Hormone (AMH),3500
Anti-Nuclear Ab (ANA),1200
Anti-Phospholipid Ab,1800
Anti-Rubella IgG,1200
Anti-Rubella IgM,1200
Anti-TB IgA,1200
"Anti-TB IgA, IgG, IgM",1200
Anti-TB IgG (ICT),1100
Anti-TB IgM (ICT),1100
Anti-TG (Anti Thyroglobulin Ab),1200
Anti-TPO (Anti Thyroid Peroxidase Ab),1200
Anti-Thyroid Antibody,2500
Anti-ds DNA Ab,1500
Beta-HCG,1200
C-ANCA,1200
C-Peptide,1500
C3 (Completent 3),1200
C4 (Completent 4),1200
CA-125,1200
CEA,1200
CMV IgG Avidity,1200
Cancer Antigen (CA -15.3),1400
